url,item_name,sku,stock_status,price
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-4-c25-4r-25a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.4.C25 4р 25А C 6кА, E.NEXT",s002149,instock,"289,35"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-4-c20-4r-20a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.4.C20 4р 20А C 6кА, E.NEXT",s002148,instock,"275,79"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-4-c16-4r-16a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.4.C16 4р 16А C 6кА, E.NEXT",s002147,instock,"275,79"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-4-c10-4r-10a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.4.C10 4р 10А C 6кА, E.NEXT",s002146,instock,"275,79"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c8-3r-8a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C8 3р 8А C 6кА, E.NEXT",s002145,instock,"229,86"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c8-2r-8a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C8 2р 8А C 6кА, E.NEXT",s002144,instock,"153,25"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c4-2r-4a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C4 2р 4А C 6кА, E.NEXT",s002143,instock,177
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c3-2r-3a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C3 2р 3А C 6кА, E.NEXT",s002142,instock,177
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-2-c2-2r-2a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.2.C2 2р 2А C 6кА, E.NEXT",s002141,instock,177
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c63-3r-63a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C63 3р 63А C 6кА, E.NEXT",s002137,instock,"262,91"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c50-3r-50a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C50 3р 50А C 6кА, E.NEXT",s002136,instock,"262,91"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c40-3r-40a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C40 3р 40А C 6кА, E.NEXT",s002135,instock,"235,52"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c32-3r-32a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C32 3р 32А C 6кА, E.NEXT",s002134,instock,"221,76"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c25-3r-25a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C25 3р 25А C 6кА, E.NEXT",s002133,instock,"217,01"
https://001.com.ua/modulnyy-avtomaticheskiy-vyklyuchatel-e-mcb-stand-60-3-c20-3r-20a-c-6ka-e-next,"Модульный автоматический выключатель e.mcb.stand.60.3.C20 3р 20А C 6кА, E.NEXT",s002132,instock,"206,67"
